gid,elevation,geom
1,1697.6,POINT(256019.004666993 9858958.87035444) 
2,1684.8,POINT(256125.39760389 9858994.60141598) 
3,1670.1,POINT(256265.705325766 9858992.97519826) 
4,1669.6,POINT(256383.400332961 9858994.25702366) 
5,1669.8,POINT(256762.257618778 9858998.738411) 
6,1657.2,POINT(257291.287108867 9858975.17968916) 
7,1655.2,POINT(257963.675265334 9858942.16946994) 
8,1653.8,POINT(257950.616937052 9858884.53448457) 
9,1649.6,POINT(257870.286354198 9858834.33037106) 
10,1652.8,POINT(257927.418326705 9858780.07357436) 
11,1666.3,POINT(257926.809566817 9858488.33468704) 
12,1665.8,POINT(257740.849140449 9858208.65953438) 
13,1664.2,POINT(257963.077937558 9857916.44335645) 
14,1666.1,POINT(257911.10363318 9858298.93140913) 
15,1665.8,POINT(257694.464423627 9857946.96905652) 
16,1664.2,POINT(257924.450265001 9857689.57455146) 
17,1664.9,POINT(257663.52658703 9857703.32108387) 
18,1664.9,POINT(257705.282236867 9857574.44297179) 
19,1661.7,POINT(257942.361792153 9857511.05772412) 
20,1665.1,POINT(257318.52652373 9857584.27288992) 
21,1667.6,POINT(257321.539242114 9857976.46966248) 
22,1667.1,POINT(257511.690966015 9858233.30310098) 
23,1669.2,POINT(257285.798177473 9858374.79154551) 
24,1667.3,POINT(257579.475522039 9858558.81815892) 
25,1667.5,POINT(257404.895404477 9858693.5320062) 
26,1672.9,POINT(257178.571768269 9858814.83170076) 
27,1671.2,POINT(257171.883983593 9858606.16960359) 
28,1671.7,POINT(256997.50642874 9858436.55066476) 
29,1669.8,POINT(257074.149084178 9858111.02917622) 
30,1668.6,POINT(256939.329132625 9857747.53521798) 
31,1671.7,POINT(256893.668925809 9857539.61585075) 
32,1664.8,POINT(257156.550308056 9857561.82058198) 
33,1671.3,POINT(256781.770713175 9858100.68883222) 
34,1673.7,POINT(256760.710622009 9857954.42247997) 
35,1691.7,POINT(256675.547471672 9857568.57588756) 
36,1696.7,POINT(256493.257110046 9857569.90058337) 
37,1697.6,POINT(256389.168815189 9857571.28636951) 
38,1698.9,POINT(256160.870996389 9857529.78995171) 
39,1693.2,POINT(256034.55385569 9857609.39388103) 
40,1675.2,POINT(256931.737853961 9858857.20589025) 
41,1671.7,POINT(256788.291303233 9858625.43556786) 
42,1670.6,POINT(256887.074384285 9858309.03904708) 
43,1671.1,POINT(256769.842020316 9858398.98653569) 
44,1685.1,POINT(256578.343093637 9858248.5435333) 
45,1693.4,POINT(256491.012843842 9858325.1926193) 
46,1683.2,POINT(256529.297195829 9858538.13104031) 
47,1675.3,POINT(256478.508615667 9858781.30596473) 
48,1690.5,POINT(256283.054089423 9858759.07631507) 
49,1698.5,POINT(256152.953366694 9858762.08099525) 
50,1699.8,POINT(256259.120340779 9858605.14794797) 
51,1707.5,POINT(256162.784892459 9858404.74590795) 
52,1711.3,POINT(256015.108237541 9858529.7488025) 
53,1693.3,POINT(256335.244130229 9858127.80651295) 
54,1709.2,POINT(256080.07118345 9857951.54259286) 
55,1695.3,POINT(256422.597489857 9857862.36255166) 
